Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
perkFlurryOfStrengthDesc,progression,perk Str,,,"You are not just strong, but you are fast as well. Increase club, sledgehammer, axe, pickaxe, and shovel speeds.",,"Du bist nicht nur stark, sondern auch schnell. Erhöht die Knüppel- und Vorschlaghammergeschwindigkeit.","No solo tienes fuerza, también rapidez. Aumenta la velocidad de los palos y los mazos.","Vous n'êtes pas seulement fortiche, vous êtes également rapide. Augmente la vitesse des massues et des masses.","Non sei solo forte, ma anche veloce. Aumenti la velocità di mazze e martelli.",あなたは強いだけでなく、スピードもある。棍棒やスレッジハンマーの攻撃速度が上がります。,당신은 이제 강하기만 한 게 아니라 빠르기도 합니다. 곤봉과 대형 망치 속도가 증가합니다.,Walisz szybko i silnie. Zwiększ szybkość ataków maczugami i młotami rozbiórkowymi.,"Você não é só forte, mas também é rápido. Aumenta a velocidade do porrete e da marreta.","Вам не только силушки не занимать, но и в скорости не откажешь. Повышается скорость атаки дубинами и кувалдами.",Güçlü olduğun kadar hızlısın da. Sopa ve balyoz hızlarını artırır.,你不仅强壮，也同样灵巧。棍棒和大锤的速度提高。,你不只強壯，速度也很快。增加棍子和槌子的速度。
perkFlurryOfStrengthRank1LongDesc,progression,perk Str,,,"Swing those big guns faster!\nClubs, sledgehammers, axes, pickaxes, and shovels are 10% faster.",,Schwinge diese großen Waffen schneller!\nKnüppel und Vorschlaghämmer sind 10 % schneller.,¡Blande esas armas grandes más rápido!\nLos palos y mazos son un 10 % más rápidos.,Balancez ces gros bras plus vite !\nLes massues et les masses sont 10 % plus rapides.,Agita più velocemente queste armi pesanti!\nLe mazze e i martelli sono il 10% più veloci.,大砲をもっと速く振りかぶれ！\n棍棒やスレッジハンマー使用時、攻撃速度10%上昇。,큰 총을 더 빨리 휘두르세요!\n클럽과 대형 망치가 10% 더 빨라집니다.,Wymachuj szybciej duża bronią!\nMaczugi i młoty rozbiórkowe są 10% szybsze.,O manejo das armas grandes fica mais rápido!\nPorretes e marretas ficam 10% mais rápidos.,Быстрее машите этими большими игрушками!\nДубины и кувалды на 10% быстрее.,O büyük silahları daha da hızlı salla!\nSopa ve balyozlar %10 daha hızlı olur.,加速挥舞你的肱二头肌吧！\n棍棒和大锤的速度提高10%。,揮棒速度再快一點！\n增加 10% 棍子、槌子速度。
perkFlurryOfStrengthRank2LongDesc,progression,perk Str,,,"The faster you swing, the harder you hit!\nClubs, sledgehammers, axes, pickaxes, and shovels are 17% faster.",,"Je schneller du schwingst, desto härter triffst du!\nKnüppel und Vorschlaghämmer sind 17 % schneller.","¡Cuanto más rápido batees, más fuerte lo harás!\nLos palos y mazos son un 17 % más rápidos.","Plus vous balancez les bras rapidement, plus vous frappez fort !\nLes massues et les masses sont 17 % plus rapides.","Più velocemente agiti, più forte colpisci!\nLe mazze e i martelli sono il 17% più veloci.",速く振れば、強く当たる！\n棍棒やスレッジハンマー使用時、攻撃速度17%上昇。,빠르게 휘두르면 더 강해집니다!\n클럽과 대형 망치가 17% 더 빨라집니다.,"Im szybciej atakujesz, tym mocniej uderzasz!\nMaczugi i młoty rozbiórkowe są 17% szybsze.","Quanto mais rápido você maneja, mais forte você bate!\nPorretes e marretas ficam 17% mais rápidos.","Чем быстрее вы машете, тем сильнее удары!\nДубины и кувалды на 17% быстрее.",Silahlarını ne kadar hızlı sallarsan o kadar sert vurusun!\nSopa ve balyozlar %17 daha hızlı olur.,挥舞速度越快，打击就越沉重！\n棍棒和大锤的速度提高17%。,揮棒速度愈快，打擊力道就愈強！\n增加 17% 棍子、槌子速度。
perkFlurryOfStrengthRank3LongDesc,progression,perk Str,,,"Let your enemies take a ride on heavy metal.\nClubs, sledgehammers, axes, pickaxes, and shovels are 25% faster.",,Lass deine Feinde Heavy Metal spüren.\nKnüppel und Vorschlaghämmer sind 25 % schneller.,Dales a tus enemigos un poco de metal pesado para probar.\nLos palos y mazos son un 25 % más rápidos.,"Faites découvrir à vos ennemis les joies du ""metal"" !\nLes massues et les masses sont 25 % plus rapides.",Fai assaggiare il metallo pesante ai tuoi nemici.\nLe mazze e i martelli sono il 25% più veloci.,敵をあなたの握るヘビメタにノセてやろう。\n棍棒やスレッジハンマー使用時、攻撃速度25%上昇。,적에게 헤비 메탈 사운드를 들려주세요.\n클럽과 대형 망치가 25% 더 빨라집니다.,Potraktuj wrogów ciężkim metalem.\nMaczugi i młoty rozbiórkowe są 25% szybsze.,Dê uma boa dose de metal pesado para os inimigos.\nPorretes e marretas ficam 25% mais rápidos.,Пусть ваши враги познают прелести тяжелого металла!\nДубины и кувалды на 25% быстрее.,Düşmanlarını ağır metal yolculuğuna çıkar!\nSopa ve balyozlar %25 daha hızlı olur.,让你的敌人尝尝重金属碾压的滋味。\n棍棒和大锤的速度提高25%。,讓你的敵人體驗一次重金屬之旅吧。\n增加 25% 棍子、槌子速度。
perkToolmanDesc,progression,perk Str,,,Specialize in destroying your enemies with construction tools.,,,,,,,,,,,,,
perkToolmanName,progression,perk Str,,,Toolman,,,,,,,,,,,,,
perkToolmanRank1Desc,progression,perk Str,,,DIY,,,,,,,,,,,,,
perkToolmanRank1LongDesc,progression,perk Str,,,"If it moves, but shouldn't, use Duct Tape. If it doesn't move, but should, use WD-40. Construction tools inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding. 15% chance to knock down enemies with power attacks.",,,,,,,,,,,,,
perkToolmanRank2Desc,progression,perk Str,,,Honey-do,,,,,,,,,,,,,
perkToolmanRank2LongDesc,progression,perk Str,,,"You can fix a leaky faucet and patch some drywall, most of the time anyway. Construction tools inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3. 30% chance to knock down enemies with power attacks.",,,,,,,,,,,,,
perkToolmanRank3Desc,progression,perk Str,,,Handyman,,,,,,,,,,,,,
perkToolmanRank3LongDesc,progression,perk Str,,,"If the women don't find you handsome, they should at least find you handy. Construction tools inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. Killing blows grant 10 stamina.",,,,,,,,,,,,,
perkToolmanRank4Desc,progression,perk Str,,,General Contractor,,,,,,,,,,,,,
perkToolmanRank4LongDesc,progression,perk Str,,,You can build and fix all the stuff and things! Construction tools inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. Killing blows grant 20 stamina.,,,,,,,,,,,,,
perkToolmanRank5Desc,progression,perk Str,,,They Call Me Tim,,,,,,,,,,,,,
perkToolmanRank5LongDesc,progression,perk Str,,,"You had a home improvement show on a local cable channel. Construction tools inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding. Killing blows grant 30 stamina. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes. Killing blows grant 30 stamina.",,,,,,,,,,,,,
resourceNailSteel,items,Item,,,Steel Nails,,,,,,,,,,,,,
resourceNailSteelDesc,items,Item,,,"Steel Nails are used as ammo for the nail gun. They have higher damage, fly faster, and can penetrate armor. The Penetrator perk applies to Steel nails as well.",,,,,,,,,,,,,
